"a","OPTICS_cov","OPTICS_len","A_COPSS","COPSS"
0.5,0.79,2.88,0.75,0.37
0.6,0.75,2.57,0.84,0.39
0.7,0.79,2.59,0.89,0.47
0.8,0.7,1.83,0.91,0.55
0.9,0.65,1.79,0.86,0.55
1,0.75,1.85,0.87,0.62
