"a","OPTICS(BS)_cov","OPTICS(BS)_len","OPTICS(SN)_cov","OPTICS(SN)_len","A_COPSS(BS)","A_COPSS(SN)","COPSS(BS)","COPSS(SN)","A_FDRseg","A_SMUCE","fdr_seg","smuce"
0.25,0.76,4.54,0.74,4.9,0.32,0.18,0.1,0.1,0.72,0.2,0.34,0.02
0.3125,0.9,4.62,0.88,4.94,0.58,0.4,0.28,0.28,0.7,0.7,0.4,0.2
0.375,0.84,3.54,0.92,3.98,0.64,0.58,0.4,0.46,0.6,0.94,0.36,0.64
0.4375,0.82,3.06,0.96,3.04,0.76,0.86,0.46,0.74,0.5,1,0.34,0.88
0.5,0.78,2.94,0.98,3.02,0.84,0.94,0.44,0.82,0.42,0.9,0.2,0.8
