"a","OPTICS(BS)_cov","OPTICS(BS)_len","OPTICS(SN)_cov","OPTICS(SN)_len","A_COPSS(BS)","A_COPSS(SN)","COPSS(BS)","COPSS(SN)"
1,0.74,2.12,0.98,2.8,0.78,0.96,0.44,0.64
1.25,0.76,2.2,1,2.58,0.72,0.94,0.36,0.66
1.5,0.94,2.24,0.98,2.86,0.72,0.9,0.48,0.78
1.75,0.84,2.44,1,2.78,0.68,0.9,0.4,0.82
2,0.84,2.22,1,2.64,0.66,0.96,0.4,0.74
