"a","OPTICS(BS)_cov","OPTICS(BS)_len","OPTICS(SN)_cov","OPTICS(SN)_len","A_COPSS(BS)","A_COPSS(SN)","COPSS(BS)","COPSS(SN)","A_FDRseg","A_SMUCE","fdr_seg","smuce"
0.25,0.84,4.46,0.82,4.32,0.58,0.56,0.24,0.38,0.84,0.36,0.52,0.02
0.3125,0.78,4.06,0.98,4.16,0.7,0.7,0.46,0.6,0.98,0.86,0.88,0.22
0.375,0.96,3.22,1,2.64,0.96,0.98,0.6,0.9,0.98,1,0.82,0.88
0.4375,0.84,2.88,1,2.48,0.88,0.98,0.56,0.94,0.94,1,0.86,1
0.5,0.84,2.72,1,2.34,0.8,0.98,0.48,0.92,0.96,1,0.86,1
