"a","OPTICS(BS)_cov","OPTICS(BS)_len","OPTICS(SN)_cov","OPTICS(SN)_len","A_COPSS(BS)","A_COPSS(SN)","COPSS(BS)","COPSS(SN)"
0.2,0.76,3.94,0.85,3.22,0.44,0.67,0.14,0.46
0.225,0.89,3.67,0.95,2.65,0.46,0.72,0.24,0.46
0.25,0.79,3.26,0.94,2.19,0.52,0.78,0.21,0.58
0.275,0.94,2.8,0.99,1.95,0.52,0.75,0.19,0.59
0.3,0.85,2.39,0.98,1.62,0.53,0.78,0.28,0.66
