"a","OPTICS(BS)_cov","OPTICS(BS)_len","OPTICS(SN)_cov","OPTICS(SN)_len","A_COPSS(BS)","A_COPSS(SN)","COPSS(BS)","COPSS(SN)"
0.2,0.83,3.52,0.92,2.76,0.5,0.72,0.22,0.51
0.225,0.9,3.13,0.97,2.28,0.59,0.76,0.31,0.57
0.25,0.89,2.68,0.98,1.9,0.6,0.72,0.26,0.56
0.275,0.8,2.23,0.97,1.61,0.59,0.74,0.33,0.62
0.3,0.78,1.97,1,1.51,0.61,0.77,0.32,0.58
